Run,Type,Flag,StartTime,StopTime,Length,Geometry,Channels,Trigger,T1,T2,T3,T4,Events,LG,HG,Ped,Size,PedRun,TrgRate,Note
1,cosmic,good,2024-03-25 16:00,2024-03-26 09:41,1061,20240322,54,12,0.005,0.005,0.005,0.005,4282,50,50,50,16,4,,
2,cosmic,good,2024-03-26 17:48,2024-04-01 14:14,8426,20240322,54,12,0.005,0.005,0.005,0.005,35579,50,50,50,129,4,,
3,cosmic,good,2024-04-17 19:35,2024-04-18 15:19,1184,20240417,174,12,0.005,0.005,0.005,0.005,4693,50,50,50,51,4,,
4,ptrg,good,2024-04-18 20:43,2024-04-18 20:44,1,20240418,192,0,0.005,0.005,0.005,0.005,41642,50,50,50,451,-1,,
5,cosmic,good,2024-04-18 20:45,2024-04-19 10:29,823,20240418,192,7,0.005,0.005,0.005,0.005,9,50,50,50,1,4,,
6,cosmic,good,2024-04-19 13:20,2024-04-19 14:26,66,20240418,192,131,0.005,0.005,0.005,0.005,1140,50,50,50,13,4,,
7,cosmic,good,2024-04-19 16:19,2024-04-19 21:04,284,20240418,192,28,0.005,0.005,0.005,0.005,5243,50,50,50,57,4,,
8,ptrg,good,2024-04-22 19:08,2024-04-22 19:10,1,20240418,192,0,0.005,0.005,0.005,0.005,100889,50,50,50,364,-1,,single board PTRG (0)
9,ptrg,good,2024-04-22 19:14,2024-04-22 19:16,1,20240418,192,0,0.005,0.005,0.005,0.005,101703,50,50,50,367,-1,,single board PTRG (1)
10,ptrg,good,2024-04-22 19:16,2024-04-22 19:19,2,20240418,192,0,0.005,0.005,0.005,0.005,131937,50,50,50,476,-1,,single board PTRG (2)
11,ptrg,good,2024-04-22 19:20,2024-04-22 19:21,0,20240418,192,0,0.005,0.005,0.005,0.005,102012,50,50,50,1103,-1,,3 boards
12,cosmic,good,2024-04-22 19:26,2024-04-24 09:23,2276,20240418,192,60,0.005,0.005,0.005,0.005,145517,50,50,50,1573,11,,try beam injection 
13,cosmic,good,2024-04-24 09:33,2024-04-24 11:33,120,20240418,192,60,0.005,0.005,0.005,0.005,8551,50,50,50,93,11,,Beam injection finished
14,cosmic,good,2024-04-24 12:00,2024-04-24 18:00,360,20240418,192,60,0.005,0.005,0.005,0.005,15811,50,50,50,171,11,,
15,cosmic,good,2024-04-24 18:00,2024-04-25 00:00,360,20240418,192,60,0.005,0.005,0.005,0.005,63412,50,50,50,686,11,,
16,cosmic,good,2024-04-25 00:00,2024-04-25 06:00,360,20240418,192,60,0.005,0.005,0.005,0.005,320348,50,50,50,3461,11,,
17,cosmic,good,2024-04-25 06:01,2024-04-25 12:01,360,20240418,192,60,0.005,0.005,0.005,0.005,40619,50,50,50,439,11,,
18,cosmic,good,2024-04-25 12:01,2024-04-25 18:01,360,20240418,192,60,0.005,0.005,0.005,0.005,14460,50,50,50,157,11,,
19,cosmic,good,2024-04-25 18:07,2024-04-25 18:09,1,20240418,192,60,0.005,0.005,0.005,0.005,69,50,50,50,1,11,,"test SPECT_TIMING mode, Tref Delay = -100 ns, Tref Window = 200 ns"
20,cosmic,good,2024-04-25 18:35,2024-04-25 18:44,9,20240418,192,60,0.005,0.005,0.005,0.005,500,50,50,50,6,11,,trigger threshold = 0.003 V
21,cosmic,bad,2024-04-25 18:44,2024-04-25 18:45,0,20240418,192,60,0.005,0.005,0.005,0.005,6409,50,50,50,70,11,,trigger threshold = 0.001 V
22,ptrg,good,2024-04-25 18:51,2024-04-25 18:51,0,20240418,192,0,0.005,0.005,0.005,0.005,10874,50,50,50,118,-1,,
23,cosmic,good,2024-04-25 19:00,2024-04-26 01:00,360,20240418,192,60,0.005,0.005,0.005,0.005,466617,50,50,50,5041,22,,collision commissioning
24,cosmic,good,2024-04-26 01:00,2024-04-26 07:00,360,20240418,192,60,0.005,0.005,0.005,0.005,2313008,50,50,50,24988,22,,collision commissioning
25,cosmic,good,2024-04-26 07:00,2024-04-26 13:00,360,20240418,192,60,0.005,0.005,0.005,0.005,754136,50,50,50,8148,22,,
26,cosmic,good,2024-04-26 13:01,2024-04-26 16:02,181,20240418,192,60,0.005,0.005,0.005,0.005,291817,50,50,50,3153,22,,
27,ptrg,good,2024-04-26 16:04,2024-04-26 16:04,0,20240418,192,0,0.005,0.005,0.005,0.005,11258,50,50,100,122,-1,,"LG = 50, HG=50, ped pos = 100"
28,ptrg,good,2024-04-26 17:49,2024-04-26 17:49,0,20240418,192,0,0.005,0.005,0.005,0.005,11894,40,50,100,129,-1,,"LG = 40, HG=50, ped pos = 100"
29,cosmic,good,2024-04-26 18:00,2024-04-26 20:00,120,20240418,192,60,0.005,0.005,0.005,0.005,687875,40,50,100,7.3G,28,,
30,cosmic,good,2024-04-26 20:00,2024-04-26 22:00,119,20240418,192,60,0.005,0.005,0.005,0.005,521891,40,50,100,5.6G,28,,
31,cosmic,good,2024-04-26 22:00,2024-04-27 00:00,120,20240418,192,60,0.005,0.005,0.005,0.005,243211,40,50,100,2628,28,,
32,data,bad,2024-04-27 00:01,2024-04-27 02:01,120,20240418,192,60,0.005,0.005,0.005,0.005,2067383,40,50,100,22335,28,,"Too high trigger rate, unable to rebuild events"
33,data,good,2024-04-27 02:01,2024-04-27 04:01,119,20240418,192,60,0.005,0.005,0.005,0.005,2431993,40,50,100,26274,28,,"Too high trigger rate, unable to rebuild events"
34,data,good,2024-04-27 04:02,2024-04-27 06:02,119,20240418,192,60,0.005,0.005,0.005,0.005,2223604,40,50,100,24023,28,,
35,data,good,2024-04-27 06:02,2024-04-27 08:02,120,20240418,192,60,0.005,0.005,0.005,0.005,2101232,40,50,100,22701,28,,
36,data,good,2024-04-27 08:02,2024-04-27 10:02,120,20240418,192,60,0.005,0.005,0.005,0.005,2780428,40,50,100,30038,28,,
37,data,good,2024-04-27 10:03,2024-04-27 12:03,119,20240418,192,60,0.005,0.005,0.005,0.005,2734219,40,50,100,29539,28,,
38,data,good,2024-04-27 12:03,2024-04-27 14:03,120,20240418,192,60,0.005,0.005,0.005,0.005,2716753,40,50,100,29350,28,,
39,data,good,2024-04-27 14:04,2024-04-27 16:04,120,20240418,192,60,0.005,0.005,0.005,0.005,2291350,40,50,100,24754,28,,
40,data,good,2024-04-27 16:04,2024-04-27 18:04,119,20240418,192,60,0.005,0.005,0.005,0.005,2252301,40,50,100,24333,28,,
41,data,bad,2024-04-27 18:05,2024-04-27 20:05,120,20240418,192,60,0.005,0.005,0.005,0.005,2612132,40,50,100,28220,28,,
42,data,bad,2024-04-27 20:05,2024-04-27 22:05,120,20240418,192,60,0.005,0.005,0.005,0.005,2540824,40,50,100,27450,28,,
43,data,bad,2024-04-27 22:05,2024-04-28 00:05,119,20240418,192,60,0.005,0.005,0.005,0.005,2110813,40,50,100,22814,28,,No Info file
44,cosmic,good,2024-04-28 16:09,2024-04-28 18:09,120,20240418,192,60,0.005,0.005,0.005,0.005,3858,40,50,100,42,28,,No Info file
45,junk,bad,2024-04-29 06:12,2024-04-29 08:12,120,20240418,192,0,0.005,0.005,0.005,0.005,2192981,40,50,100,3,28,,The list file was incomplete
46,cosmic,good,2024-04-29 08:12,2024-04-29 09:48,95,20240418,192,60,0.005,0.005,0.005,0.005,4970,40,50,100,55,28,,No Info file
47,ptrg,good,2024-04-29 10:54,2024-04-29 10:54,0,20240418,192,0,0.005,0.005,0.005,0.005,11059,40,50,100,120,-1,,
48,ptrg,good,2024-04-29 14:06,2024-04-29 14:06,0,20240418,192,0,0.005,0.005,0.005,0.005,11059,40,50,100,120,-1,,
49,ptrg,good,2024-04-29 15:53,2024-04-29 15:54,0,20240429,192,0,0.005,0.005,0.005,0.005,12063,40,50,100,131,-1,,
50,cosmic,good,2024-04-29 16:00,2024-04-29 18:00,120,20240429,192,60,0.005,0.005,0.005,0.005,4953,40,50,100,54,49,,
